OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape,DISCOVERY_DATE_CONVERTED,CONT_DATE_CONVERTED,BURNING_DAYS,STATE_NAME
717,201108600,W-624441,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office,,,F9FW,DOUBLE A,ID-TFD-000314,Double A,ID4286811452720110804,DOUBLEA,,2011,216,2054,1.0,Lightning,220,1800,13131.0,G,42.8683,-114.5272,1.0,BLM,ID,Lincoln,063,Lincoln,Point,2011-08-04,2011-08-08,4.0,Idaho
720,335082,W-534226,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDBPD,Birds of Prey Field Office,,,C3MF,RABBIT,ID-BOD-002130,RABBIT,ID4304511602220060810,RABBIT,,2006,222,1930,1.0,Lightning,224,2100,13070.0,G,43.06288,-116.06206,1.0,BLM,ID,Elmore,039,Elmore,Point,2006-08-10,2006-08-12,2.0,Idaho
732,201502828,W-640784,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDFRD,Four Rivers Field Office,,,G1UM,STOUT,ID-BOD-000458,STOUT,ID4314911552920120711,STOUT,,2012,193,0901,1.0,Lightning,197,0800,12768.0,G,43.12659,-115.40838,1.0,BLM,ID,Elmore,039,Elmore,Point,2012-07-11,2012-07-15,4.0,Idaho
749,336247,W-99324,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDIFD,Idaho Falls District,,,F604,TAYLOR,ID-IFD-F604,Taylor,ID4206511258020000916,TAYLOR,,2000,260,1942,1.0,Lightning,266,1500,12498.0,G,42.081,-112.5925,1.0,BLM,ID,Oneida,071,Oneida,Point,2000-09-16,2000-09-22,6.0,Idaho
751,1474450,W-613016,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDPOD,Pocatello Field Office,,,FP6Q,ROOSTER ROCK,ID-FHA-010010,Rooster Rock,ID4277411269220100805,ROOSTER ROCK,,2010,217,2043,1.0,Lightning,222,0849,12474.0,G,42.7372,-112.6608,9.0,TRIBAL,ID,Power,077,Power,Point,2010-08-05,2010-08-10,5.0,Idaho
753,160513,FS-388442,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0105,Clearwater National Forest,49,,8522,BEAVER LAKES,ID-CWF-000049,BEAVER LAKES COMPLEX,ID4656511442320030808,BEAVER LAKE COMPLEX  (BEAVER LAKES),BEAVER LAKES COMPLEX,2003,220,1802,1.0,Lightning,302,1100,12467.0,G,46.55666667,-114.43,5.0,USFS,ID,49,049,Idaho,Point,2003-08-08,2003-10-29,82.0,Idaho
755,1474413,W-607062,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDJRD,Jarbidge Field Office,,,FP9M,BIG DRAW,ID-MHQ-000342,Big Draw,ID4261811562420100806,BIG DRAW,,2010,218,1444,1.0,Lightning,220,1900,12389.0,G,42.6728,-115.6492,6.0,OTHER FEDERAL,ID,Owyhee,073,Owyhee,Point,2010-08-06,2010-08-08,2.0,Idaho
768,336436,W-117946,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDIFD,Idaho Falls District,,,F704,MENAN 2,ID-IFD-F704,Menan,ID4387011200820030812,MENAN,,2003,224,1623,1.0,Lightning,231,1800,12068.4,G,43.8246,-112.0778,1.0,BLM,ID,Jefferson,051,Jefferson,Point,2003-08-12,2003-08-19,7.0,Idaho
773,160650,FS-388581,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,14,,8729,SLIMS,ID-NPF-000014,Slims Complex,ID4599911526820030715,SLIM'S COMPLEX (SLIM'S),SLIMS COMPLEX,2003,196,1914,1.0,Lightning,328,0900,12011.0,G,46.02472222,-115.2925,5.0,USFS,ID,49,049,Idaho,Point,2003-07-15,2003-11-24,132.0,Idaho
779,160649,FS-388580,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,213,,8527,PETTIBONE CREEK,ID-CWF-000062,Cayuse Lake Complex,ID4604911480020030821,CAYUSE LAKE COMPLEX (PETTIBONE CREEK),CAYUSE LAKE COMPLEX,2003,233,1530,1.0,Lightning,328,0900,11833.0,G,46.0525,-114.83361111,5.0,USFS,ID,49,049,Idaho,Point,2003-08-21,2003-11-24,95.0,Idaho
797,337453,W-521611,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office,,,CQ6M,HWY 46 MM 7,ID-TFD-001256,HWY 46 MM 7,ID4284511462620060620,HWY 46 MM 7,,2006,171,1242,2.0,Equipment Use,172,1900,11443.1,G,42.8661,-114.7125,1.0,BLM,ID,Gooding,047,Gooding,Point,2006-06-20,2006-06-21,1.0,Idaho
799,336149,W-99358,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDIFD,Idaho Falls District,,,F848,MOONSHINE,ID-IFD-F848,Moonshine,ID4263611263320000726,MOONSHINE,EASTERN IDAHO COMPLEX,2000,208,0937,1.0,Lightning,246,2000,11414.0,G,42.6835,-112.625,9.0,TRIBAL,ID,Power,077,Power,Point,2000-07-26,2000-09-02,38.0,Idaho
807,334956,W-101339,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDBOD,Boise District,,,F179,NOTCHBUTTE,ID-BOD-F179,NOTCH BUTTE,ID4264211516020010704,NOTCH BUTTE,,2001,185,2122,1.0,Lightning,186,2000,11198.0,G,42.68954,-115.17784,1.0,BLM,ID,Owyhee,073,Owyhee,Point,2001-07-04,2001-07-05,1.0,Idaho
813,337816,W-100884,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSID,South Idaho District,,,G290,BACONPOND,ID-SIX-G290,Bacon Pond,ID4262811433420010624,BACON POND,,2001,175,1445,5.0,Debris Burning,176,2100,11058.0,G,42.64713,-114.42199,8.0,PRIVATE,ID,Jerome,053,Jerome,Point,2001-06-24,2001-06-25,1.0,Idaho
816,13356,FS-1441857,FED,FS-FIRESTAT,FS,USIDSCF,Salmon-Challis National Forest,0413,Salmon-Challis National Forest,52,D6MF08,C28E,BOUNDARY,ID-SCF-006336,Boundary Complex,ID4451811531020060807,BOUNDARY COMPLEX,BOUNDARY COMPLEX,2006,219,2015,1.0,Lightning,317,1359,11005.0,G,44.49861111,-115.28916667,5.0,USFS,ID,85,085,Valley,Point,2006-08-07,2006-11-13,98.0,Idaho
821,131019,FS-356331,FED,FS-FIRESTAT,FS,USIDSTF,Sawtooth National Forest,0414,Sawtooth National Forest,16,,6521,MONUMENT CANYON,ID-STF-053,Monument Canyon,ID4223211317120000727,MONUMENT CANYON,,2000,209,1300,1.0,Lightning,214,1800,10944.0,G,42.19305556,-113.18916667,5.0,USFS,ID,31,031,Cassia,Point,2000-07-27,2000-08-01,5.0,Idaho
825,300210756,W-680346,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDFRD,Four Rivers Field Office,,,JT8Q,MM 43 HWY 52,2767967,MM43 HIWAY 52,ID4394811637020150625,MM43 HWY 52,,2015,176,1231,9.0,Miscellaneous,180,1800,10845.0,G,43.9476,-116.37031,1.0,BLM,ID,Gem,045,Gem,Point,2015-06-25,2015-06-29,4.0,Idaho
843,336960,W-511297,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDPOD,Pocatello Field Office,,,B5V0,RATTLESNAK,ID-FHA-000015,Rattlesnake,ID4272311254020050904,FORT HALL COMPLEX,FORT HALL COMPLEX,2005,247,1408,7.0,Arson,264,1513,10629.5,G,42.6867,-112.5864,2.0,BIA,ID,Power,077,Power,Point,2005-09-04,2005-09-21,17.0,Idaho
845,335907,W-530878,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDFRD,Four Rivers Field Office,,,C4TE,FRENCHIE,ID-BOD-2155,FRENCHIE,ID4424111645420060821,FRENCHIE,,2006,233,2200,1.0,Lightning,236,1500,10610.0,G,44.23991,-116.47329,1.0,BLM,ID,Washington,087,Washington,Point,2006-08-21,2006-08-24,3.0,Idaho
847,337752,W-96760,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSID,South Idaho District,,,G216,C ROCKS,ID-SID-G216,C Rocks,ID4199711370020000818,CITY OF ROCKS,,2000,231,1500,1.0,Lightning,236,1700,10586.6,G,42.0052,-113.7161,1.0,BLM,ID,Cassia,031,Cassia,Point,2000-08-18,2000-08-23,5.0,Idaho
852,201108448,W-627372,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDFRD,Four Rivers Field Office,,,GAK9,UNION,ID-BOD-000550,UNION,ID4336611612920110815,UNION,,2011,227,0033,1.0,Lightning,228,2130,10527.0,G,43.364,-116.12893,1.0,BLM,ID,Ada,001,Ada,Point,2011-08-15,2011-08-16,1.0,Idaho
862,335272,W-110250,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDBUD,Burley Field Office,,,G499,HORSEBUTTE,G499 / P46581,HORSE BUTTE,ID4245611344820020804,HORSE BUTTE,,2002,216,1330,1.0,Lightning,219,1800,10422.0,G,42.4963,-113.7481,8.0,PRIVATE,ID,Cassia,031,Cassia,Point,2002-08-04,2002-08-07,3.0,Idaho
864,201108515,W-629563,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDJRD,Jarbidge Field Office,,,GHX4,HOT SPRINGS 2,ID-TFD-000546,Hot Springs 2,ID4285511571220111001,HOTSPRINGS2,,2011,274,1715,1.0,Lightning,276,1700,10394.0,G,42.8553,-115.7122,1.0,BLM,ID,Owyhee,073,Owyhee,Point,2011-10-01,2011-10-03,2.0,Idaho
872,335998,W-548441,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDFRD,Four Rivers Field Office,,,DY21,SANDY,ID-BOD-000912,SANDY,ID4418211678920070831,SANDY,,2007,243,1640,1.0,Lightning,245,0850,10238.0,G,44.15098,-116.79366,1.0,BLM,ID,Washington,087,Washington,Point,2007-08-31,2007-09-02,2.0,Idaho
899,5648,FS-1429661,FED,FS-FIRESTAT,FS,USIDPAF,Payette National Forest,0412,Payette National Forest,815,22,B3ML,WEST FORK WFU,ID-PAF-005045,FRANK CHURCH,ID4524911525120050807,FRANK CHURCH WFU (WEST FORK AND JOE),FRANK CHURCH WFU COMPLEX 2005,2005,225,1315,1.0,Lightning,307,1055,9933.0,G,45.23638889,-115.32055556,5.0,USFS,ID,49,049,Idaho,Point,2005-08-13,2005-11-03,82.0,Idaho
904,1474404,W-603197,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDJRD,Jarbidge Field Office,,,FHS1,SAILOR CREEK,ID-MHQ-000159,Sailor Creek,ID4274611566920100629,SAILOR CREEK,,2010,180,1517,1.0,Lightning,182,1800,9837.0,G,42.7225,-115.6108,6.0,OTHER FEDERAL,ID,Owyhee,073,Owyhee,Point,2010-06-29,2010-07-01,2.0,Idaho
906,300210697,W-687688,FED,DOI-WFMI,BLM,USIDCWD,Cottonwood Field Office,IDCWD,Cottonwood Field Office,,,J1AQ,KAMIAH GULCH,2862395,Kamiah Gulch,ID4627411605820150811,KAMIAH GULCH,,2015,222,1850,1.0,Lightning,252,1615,9820.0,G,46.2725,-116.0564,1.0,BLM,ID,Idaho,049,Idaho,Point,2015-08-10,2015-09-09,30.0,Idaho
912,336513,W-530996,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDIFD,Idaho Falls District,,,C57L,SNOWSHOE,ID-IFD-041,SNOWSHOE,ID4413611197520060906,SNOWSHOE,,2006,249,1651,1.0,Lightning,253,1500,9676.6,G,44.1661,-111.9439,1.0,BLM,ID,Fremont,043,Fremont,Point,2006-09-06,2006-09-10,4.0,Idaho
916,337678,W-94603,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSID,South Idaho District,,,F584,BELL MARE,ID-SID-F584,Bell Mare,ID4304811507020000705,BELL MARE,,2000,187,1821,4.0,Campfire,190,1600,9607.9,G,43.05476,-115.14398,8.0,PRIVATE,ID,Elmore,039,Elmore,Point,2000-07-05,2000-07-08,3.0,Idaho
928,201773844,W-658240,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office,,,HTB2,SOUTHEAST RED BRIDGE,ID-TFD-000312,Southeast Red Bridge,ID4275411432420130801,SOUTHEAST RED BRIDGE,,2013,212,2121,1.0,Lightning,216,0930,9499.0,G,42.7536,-114.3244,1.0,BLM,ID,Jerome,053,Jerome,Point,2013-07-31,2013-08-04,4.0,Idaho
929,201761172,FS-1516763,FED,FS-FIRESTAT,FS,USIDSCF,Salmon-Challis National Forest,0413,Salmon-Challis National Forest,008,0702,HP5V,PAPOOSE,ID-SCF-13120,Papoose,ID4520011474120130708,PAPOOSE,,2013,189,2004,1.0,Lightning,277,0730,9493.0,G,45.20055556,-114.74166667,5.0,USFS,ID,059,059,Lemhi,Point,2013-07-08,2013-10-04,88.0,Idaho
930,337050,W-552844,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDPOD,Pocatello Field Office,,,DV4R,MITCHELL,ID-IFD-007026,Mitchell,ID4236411269920070811,MITCHELL,,2007,223,1304,2.0,Equipment Use,269,1600,9473.0,G,42.2922,-112.7147,1.0,BLM,ID,Power,077,Power,Point,2007-08-11,2007-09-26,46.0,Idaho
936,336531,W-546034,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDIFD,Idaho Falls District,,,DR5H,TWINN BUTTE,ID-INE-007036,Twin Buttes,ID4351111267220070718,TWIN BUTTES,,2007,199,1800,1.0,Lightning,202,1800,9434.0,G,43.4847,-112.6686,6.0,OTHER FEDERAL,ID,Bingham,011,Bingham,Point,2007-07-18,2007-07-21,3.0,Idaho
948,201773589,W-663333,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDFRD,Four Rivers Field Office,,,HUH6,LONG TOM,ID-BOD-001047,PONY COMPLEX,ID4329411554820130809,PONY COMPLEX,PONY COMPLEX,2013,220,2151,1.0,Lightning,233,1801,9322.0,G,43.31949,-115.50116,8.0,PRIVATE,ID,Elmore,039,Elmore,Point,2013-08-08,2013-08-21,13.0,Idaho
955,334819,W-94305,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDBOD,Boise District,,,F002,SE IMPACT,ID-BOD-F002,S. E. Impact,ID4262511548420000627,SE IMPACT,,2000,179,1639,2.0,Equipment Use,181,1400,9210.0,G,42.63872,-115.52953,6.0,OTHER FEDERAL,ID,Owyhee,073,Owyhee,Point,2000-06-27,2000-06-29,2.0,Idaho
960,335055,W-500753,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDBPD,Birds of Prey Field Office,,,BUC5,BROWN DUNE,ID-BOD-2027,BROWN DUNE,ID4286211557520050614,BROWN DUNE,,2005,165,1852,1.0,Lightning,166,1929,9133.0,G,42.89735,-115.62299,1.0,BLM,ID,Owyhee,073,Owyhee,Point,2005-06-14,2005-06-15,1.0,Idaho
966,201765178,FS-1518721,FED,FS-FIRESTAT,FS,USIDPAF,Payette National Forest,0412,Payette National Forest,063,063,HX4J,HELLS CANYON,ID-PAF-013081,Hells Canyon,ID4450111717720130829,HELLS CANYON,WEISER COMPLEX,2013,241,1151,1.0,Lightning,257,1500,9062.0,G,44.50138889,-117.17722222,5.0,USFS,ID,087,087,Washington,Point,2013-08-29,2013-09-14,16.0,Idaho
967,336978,W-536142,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDPOD,Pocatello Field Office,,,CU2D,BURNT,ID-TFD-001321,BURNT,ID4208311299720060703,BURNT,,2006,184,1444,1.0,Lightning,187,1630,9041.4,G,42.0425,-113.0189,1.0,BLM,ID,Cassia,031,Cassia,Point,2006-07-03,2006-07-06,3.0,Idaho
978,335026,W-104410,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDBOD,Boise District,,,F266,ROUGHDIAMO,ID-BOD-F266,Rough Diamonds,ID4307711665420010826,ROUGH DIAMONDS,,2001,238,2140,9.0,Miscellaneous,246,1800,8904.0,G,43.1113,-116.65152,1.0,BLM,ID,Owyhee,073,Owyhee,Point,2001-08-26,2001-09-03,8.0,Idaho
980,201502658,W-637563,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDBPD,Birds of Prey NCA,,,GXW7,CON SHEA,ID-BOD-000252,CON SHEA,ID4329111645520120613,CON SHEA,,2012,165,2101,9.0,Miscellaneous,167,1911,8898.0,G,43.29117,-116.45538,10.0,BOR,ID,Owyhee,073,Owyhee,Point,2012-06-13,2012-06-15,2.0,Idaho
989,334983,W-102202,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDBOD,Boise District,,,F210,BIG KNOB,ID-BOD-F210,BIG KNOB,ID4267511533720010715,BIG KNOB,,2001,196,1843,1.0,Lightning,198,1800,8767.0,G,42.63357,-115.27173,1.0,BLM,ID,Owyhee,073,Owyhee,Point,2001-07-15,2001-07-17,2.0,Idaho
990,22785,FS-1453710,FED,FS-FIRESTAT,FS,USIDBOF,Boise National Forest,0402,Boise National Forest,70,638,DR50,SHEEP TRAIL,ID-BOF-000642,Middle Fork Complex,ID4435511547420070717,MIDDLE FORK COMPLEX (SHEEP TRAIL),MIDDLE FORK COMPLEX,2007,199,1615,1.0,Lightning,274,1430,8759.0,G,44.34944444,-115.49361111,5.0,USFS,ID,85,085,Valley,Point,2007-07-18,2007-10-01,75.0,Idaho
995,201430886,FS-1510185,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,052,1706-21,G52V,VISTA,ID-NPF-000355,Vista,ID4615011493120120808,VISTA,,2012,221,1600,1.0,Lightning,299,0550,8708.0,G,46.15083333,-114.93305556,5.0,USFS,ID,049,049,Idaho,Point,2012-08-08,2012-10-25,78.0,Idaho
998,300000692,FS-1522266,FED,FS-FIRESTAT,FS,USIDBOF,Boise National Forest,0402,Boise National Forest,030,412,H8DW,WASH,637393,WASH,ID4408611596520140715,WHISKEY COMPLEX,WHISKEY COMPLEX,2014,195,0821,1.0,Lightning,281,1105,8690.0,G,44.06638889,-115.92083333,13.0,STATE OR PRIVATE,ID,Boise,015,Boise,Point,2014-07-14,2014-10-08,86.0,Idaho
1023,201502895,W-639875,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDIFD,Idaho Falls Field Office,,,G1S2,MIDWAY,ID-IFDS-012,Midway,ID4343111288420120710,MIDWAY,,2012,192,1755,1.0,Lightning,196,1830,8435.0,G,43.4255,-112.8836,1.0,BLM,ID,Butte,023,Butte,Point,2012-07-10,2012-07-14,4.0,Idaho
1028,24937,FS-1456265,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,35,D6 - 10,DU8T,DRAKE,ID-NPF-00035,Drake,ID4600411512820070718,DRAKE,MOOSE CREEK WFU COMPLEX,2007,199,1440,1.0,Lightning,290,1500,8401.0,G,45.9875,-115.12833333,5.0,USFS,ID,49,049,Idaho,Point,2007-07-18,2007-10-17,91.0,Idaho
1034,335828,W-506299,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDFRD,Four Rivers Field Office,,,B4W9,SOUTHBLACK,ID-BOD-002144,SOUTH BLACK,ID4337611606220050823,SOUTH BLACK,,2005,235,1630,9.0,Miscellaneous,236,1730,8347.0,G,43.44283,-116.13272,1.0,BLM,ID,Ada,001,Ada,Point,2005-08-23,2005-08-24,1.0,Idaho
1043,300005837,FS-1522099,FED,FS-FIRESTAT,FS,USORWWF,Wallowa-Whitman National Forest,0616,Wallowa-Whitman National For,016,482,H8DK,PITTSBURG ,636275,PITTSBURG,ID4571311651320140714,PITTSBURG,,2014,195,0752,1.0,Lightning,209,1200,8287.0,G,45.71305556,-116.51277778,5.0,USFS,ID,Idaho,049,Idaho,Point,2014-07-14,2014-07-28,14.0,Idaho
1045,336956,W-511317,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDPOD,Pocatello Field Office,,,B5T6,SAWMILL,ID-FHA-000013,Sawmill,ID4298611214720050904,SAWMILL,FORT HALL COMPLEX,2005,247,0213,1.0,Lightning,274,1600,8282.0,G,42.9675,-112.2111,2.0,BIA,ID,Bannock,005,Bannock,Point,2005-09-04,2005-10-01,27.0,Idaho
1050,336603,W-110094,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDJRD,Jarbidge Field Office,,,F033,HORSESKIN,ID-BOD-F033,Horse Skin,ID4244811509220020725,HORSE SKIN,,2002,206,1412,1.0,Lightning,208,1700,8140.0,G,42.44847,-115.16487,1.0,BLM,ID,Owyhee,073,Owyhee,Point,2002-07-25,2002-07-27,2.0,Idaho
1051,337711,W-95783,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSID,South Idaho District,,,G172,E FALL CRK,ID-SID-G172,East Fall Creek,ID4254211302620000726,EAST FALL CREEK,,2000,208,1112,1.0,Lightning,213,2200,8136.7,G,42.5834,-113.03218,8.0,PRIVATE,ID,Cassia,031,Cassia,Point,2000-07-26,2000-07-31,5.0,Idaho
1076,201503093,W-639079,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office,,,G1HV,LAIDLAW,ID-TFD-000272,Laidlaw,ID4314011358620120708,LAIDLAW,,2012,190,1922,1.0,Lightning,193,2000,7935.0,G,43.1397,-113.5858,1.0,BLM,ID,Blaine,013,Blaine,Point,2012-07-08,2012-07-11,3.0,Idaho
1082,14788,FS-1443641,FED,FS-FIRESTAT,FS,USIDPAF,Payette National Forest,0412,Payette National Forest,804,804,CY32,DUNCE WFU,ID-PAF-006032,Dunce WFU,ID4513411480420060707,DUNCE WFU,PAYETTE WFU COMPLEX,2006,189,1712,1.0,Lightning,255,1642,7898.0,G,45.125,-114.78305556,5.0,USFS,ID,85,085,Valley,Point,2006-07-08,2006-09-12,66.0,Idaho
1085,201433372,FS-1507090,FED,FS-FIRESTAT,FS,USIDSCF,Salmon-Challis National Forest,0413,Salmon-Challis National Forest,057,0617,G6GW,MERINO,ID-SCF-12237,Merino,ID4465311487020120831,MERINO,,2012,222,1642,1.0,Lightning,289,1759,7863.0,G,44.65333333,-114.87,5.0,USFS,ID,037,037,Custer,Point,2012-08-09,2012-10-15,67.0,Idaho
1086,201430122,FS-1509990,FED,FS-FIRESTAT,FS,USMTBRF,Bitterroot National Forest,0103,Bitterroot National Forest,061,33,EKS4,CABIN SPRING,MT-BRF-005527,Cabin Spring,ID4542411459020120730,MUSTANG COMPLEX,MUSTANG COMPLEX,2012,224,1647,1.0,Lightning,249,1800,7863.0,G,45.54472222,-114.96111111,5.0,USFS,ID,049,049,Idaho,Point,2012-08-11,2012-09-05,25.0,Idaho
1089,337078,W-577642,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDPOD,Pocatello Field Office,,,EDX0,NEIBAUR,ID-FHA-008004,Neibaur,ID4278911269420080727,NEIBAUR,,2008,209,0450,7.0,Arson,210,1800,7831.0,G,42.7683,-112.7292,1.0,BLM,ID,Power,077,Power,Point,2008-07-27,2008-07-28,1.0,Idaho
1093,201502894,W-639889,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDIFD,Idaho Falls Field Office,,,G1Q8,COX S WELL,ID-IFDS-012021,Cox's Well,ID4319911326420120710,COX'S WELL,,2012,193,1304,1.0,Lightning,194,0845,7800.0,G,43.205,-113.2622,1.0,BLM,ID,Blaine,013,Blaine,Point,2012-07-11,2012-07-12,1.0,Idaho
1100,300200534,FS-6352405,FED,FS-FIRESTAT,FS,USIDIPF,Idaho Panhandle National Forest,0104,Idaho Panhandle National Forest,116,1020,J114,LOWER FLAT,2862494,Lower Flat,ID4779711617020150812,LOWER FLAT,GRIZZLY COMPLEX,2015,224,1255,1.0,Lightning,310,1900,7700.0,G,47.79611111,-116.16972222,5.0,USFS,ID,079,079,Shoshone,Point,2015-08-12,2015-11-06,86.0,Idaho
1104,337047,W-547234,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDPOD,Pocatello Field Office,,,DVF4,COMBINE,ID-EICI-007050,Combine,ID4233211280420070806,COMBINE,,2007,218,1526,2.0,Equipment Use,222,2000,7654.0,G,42.3164,-112.80106,1.0,BLM,ID,Power,077,Power,Point,2007-08-06,2007-08-10,4.0,Idaho
1106,24925,FS-1456244,FED,FS-FIRESTAT,FS,USIDBOF,Boise National Forest,0402,Boise National Forest,87,769,DR27,YELLOW,ID-BOF-000635,Cascade Complex,ID4475011554820070717,CASCADE COMPLEX (MONUMENTAL),CASCADE COMPLEX,2007,212,1640,1.0,Lightning,221,0700,7603.0,G,44.6,-115.73333333,5.0,USFS,ID,85,085,Valley,Point,2007-07-31,2007-08-09,9.0,Idaho
1118,300200532,FS-6352416,FED,FS-FIRESTAT,FS,USIDIPF,Idaho Panhandle National Forest,0104,Idaho Panhandle National Forest,135,1031,EKS5,SOUTH BOBTAIL,2940430,South Bobtail,ID4770811586620150813,SOUTH BOBTAIL,GRIZZLY COMPLEX,2015,225,1642,1.0,Lightning,310,1900,7503.0,G,47.70777778,-115.86638889,5.0,USFS,ID,079,079,Shoshone,Point,2015-08-13,2015-11-06,85.0,Idaho
1129,3601,FS-1426332,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,96,06-28,B35G,RUNNING LAKE,ID-NPF-000096,Running Complex,ID4593311501420050808,RUNNING COMPLEX (RUNNING LAKE),RUNNING COMPLEX,2005,222,1600,1.0,Lightning,273,1500,7404.0,G,45.92333333,-115.025,5.0,USFS,ID,49,049,Idaho,Point,2005-08-10,2005-09-30,51.0,Idaho
1138,201773830,W-658228,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office,,,HR0S,BROWN BUTTE,ID-TFD-000257,Brown Butte,ID4299711423520130721,BROWN BUTTE,,2013,202,1424,9.0,Miscellaneous,204,1800,7300.0,G,42.9917,-114.2439,1.0,BLM,ID,Lincoln,063,Lincoln,Point,2013-07-21,2013-07-23,2.0,Idaho
1140,201760273,FS-1517383,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,021,1706-08,EKT5,CALIFORNIA POINT,ID-NPF-000347,California Point,ID4631911498620130718,CALIFORNIA POINT,,2013,199,1303,1.0,Lightning,201,1623,7294.0,G,46.32944444,-114.98555556,5.0,USFS,ID,049,049,Idaho,Point,2013-07-18,2013-07-20,2.0,Idaho
1142,337409,W-503902,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office,,,B2V1,ESTARLAKE,ID-TFD-BSV1,East Star Lake,ID4276711415620050801,EAST STAR LAKE,,2005,213,1900,1.0,Lightning,216,2000,7284.0,G,42.7764,-114.1581,1.0,BLM,ID,Lincoln,063,Lincoln,Point,2005-08-01,2005-08-04,3.0,Idaho
